millis,stamp,datetime,Moisture level
1999, 1566442924, 2019/8/22 3:2:4, 23
3999, 1566442926, 2019/8/22 3:2:6, 24
5999, 1566442928, 2019/8/22 3:2:8, 23
7999, 1566442930, 2019/8/22 3:2:10, 24
9999, 1566442932, 2019/8/22 3:2:12, 23
11999, 1566442934, 2019/8/22 3:2:14, 23
13999, 1566442936, 2019/8/22 3:2:16, 24
16000, 1566442938, 2019/8/22 3:2:18, 23
17999, 1566442940, 2019/8/22 3:2:20, 23
19999, 1566442942, 2019/8/22 3:2:22, 24
21999, 1566442944, 2019/8/22 3:2:24, 24
23999, 1566442946, 2019/8/22 3:2:26, 24
25999, 1566442948, 2019/8/22 3:2:28, 23
27999, 1566442950, 2019/8/22 3:2:30, 23
29999, 1566442952, 2019/8/22 3:2:32, 23
32000, 1566442954, 2019/8/22 3:2:34, 23
33999, 1566442956, 2019/8/22 3:2:36, 23
35999, 1566442958, 2019/8/22 3:2:38, 23
37999, 1566442960, 2019/8/22 3:2:40, 23
39999, 1566442962, 2019/8/22 3:2:42, 23
41999, 1566442964, 2019/8/22 3:2:44, 23
43999, 1566442966, 2019/8/22 3:2:46, 24
45999, 1566442968, 2019/8/22 3:2:48, 23
48000, 1566442970, 2019/8/22 3:2:50, 24
49999, 1566442972, 2019/8/22 3:2:52, 23
51999, 1566442974, 2019/8/22 3:2:54, 23
53999, 1566442976, 2019/8/22 3:2:56, 23
55999, 1566442978, 2019/8/22 3:2:58, 23
57999, 1566442980, 2019/8/22 3:3:0, 23
59999, 1566442982, 2019/8/22 3:3:2, 22
61999, 1566442984, 2019/8/22 3:3:4, 23
64000, 1566442986, 2019/8/22 3:3:6, 23
65999, 1566442988, 2019/8/22 3:3:8, 24
67999, 1566442990, 2019/8/22 3:3:10, 23
69999, 1566442992, 2019/8/22 3:3:12, 24
71999, 1566442994, 2019/8/22 3:3:14, 23
73999, 1566442996, 2019/8/22 3:3:16, 24
75999, 1566442998, 2019/8/22 3:3:18, 22
77999, 1566443000, 2019/8/22 3:3:20, 22
80000, 1566443002, 2019/8/22 3:3:22, 23
81999, 1566443004, 2019/8/22 3:3:24, 23
83999, 1566443006, 2019/8/22 3:3:26, 23
85999, 1566443008, 2019/8/22 3:3:28, 23
87999, 1566443010, 2019/8/22 3:3:30, 23
89999, 1566443012, 2019/8/22 3:3:32, 23
91999, 1566443014, 2019/8/22 3:3:34, 23
93999, 1566443016, 2019/8/22 3:3:36, 23
96000, 1566443018, 2019/8/22 3:3:38, 23
97999, 1566443020, 2019/8/22 3:3:40, 23
99999, 1566443022, 2019/8/22 3:3:42, 23
101999, 1566443024, 2019/8/22 3:3:44, 23
103999, 1566443026, 2019/8/22 3:3:46, 23
105999, 1566443028, 2019/8/22 3:3:48, 23
107999, 1566443030, 2019/8/22 3:3:50, 22
109999, 1566443032, 2019/8/22 3:3:52, 22
112000, 1566443034, 2019/8/22 3:3:54, 23
113999, 1566443036, 2019/8/22 3:3:56, 23
115999, 1566443038, 2019/8/22 3:3:58, 22
117999, 1566443040, 2019/8/22 3:4:0, 23
119999, 1566443042, 2019/8/22 3:4:2, 23
121999, 1566443044, 2019/8/22 3:4:4, 22
123999, 1566443046, 2019/8/22 3:4:6, 23
125999, 1566443048, 2019/8/22 3:4:8, 23
128000, 1566443050, 2019/8/22 3:4:10, 48
129999, 1566443052, 2019/8/22 3:4:12, 50
131999, 1566443054, 2019/8/22 3:4:14, 52
133999, 1566443056, 2019/8/22 3:4:16, 53
135999, 1566443058, 2019/8/22 3:4:18, 54
137999, 1566443060, 2019/8/22 3:4:20, 59
139999, 1566443062, 2019/8/22 3:4:22, 429
141999, 1566443064, 2019/8/22 3:4:24, 686
144000, 1566443066, 2019/8/22 3:4:26, 690
145999, 1566443068, 2019/8/22 3:4:28, 693
147999, 1566443070, 2019/8/22 3:4:30, 696
150000, 1566443072, 2019/8/22 3:4:32, 697
151999, 1566443074, 2019/8/22 3:4:34, 696
153999, 1566443076, 2019/8/22 3:4:36, 717
155999, 1566443078, 2019/8/22 3:4:38, 717
157999, 1566443080, 2019/8/22 3:4:40, 718
160000, 1566443082, 2019/8/22 3:4:42, 721
161999, 1566443084, 2019/8/22 3:4:44, 725
163999, 1566443086, 2019/8/22 3:4:46, 727
165999, 1566443088, 2019/8/22 3:4:48, 728
167999, 1566443090, 2019/8/22 3:4:50, 729
169999, 1566443092, 2019/8/22 3:4:52, 727
171999, 1566443094, 2019/8/22 3:4:54, 728
173999, 1566443096, 2019/8/22 3:4:56, 728
176000, 1566443098, 2019/8/22 3:4:58, 729
177999, 1566443100, 2019/8/22 3:5:0, 730
179999, 1566443102, 2019/8/22 3:5:2, 732
181999, 1566443104, 2019/8/22 3:5:4, 732
183999, 1566443106, 2019/8/22 3:5:6, 732
185999, 1566443108, 2019/8/22 3:5:8, 732
187999, 1566443110, 2019/8/22 3:5:10, 732
189999, 1566443112, 2019/8/22 3:5:12, 731
192000, 1566443114, 2019/8/22 3:5:14, 731
193999, 1566443116, 2019/8/22 3:5:16, 730
195999, 1566443118, 2019/8/22 3:5:18, 731
198000, 1566443120, 2019/8/22 3:5:20, 730
199999, 1566443122, 2019/8/22 3:5:22, 730
201999, 1566443124, 2019/8/22 3:5:24, 730
203999, 1566443126, 2019/8/22 3:5:26, 730
205999, 1566443128, 2019/8/22 3:5:28, 730
208000, 1566443130, 2019/8/22 3:5:30, 729
209999, 1566443132, 2019/8/22 3:5:32, 729
211999, 1566443134, 2019/8/22 3:5:34, 729
213999, 1566443136, 2019/8/22 3:5:36, 728
215999, 1566443138, 2019/8/22 3:5:38, 729
217999, 1566443140, 2019/8/22 3:5:40, 729
219999, 1566443142, 2019/8/22 3:5:42, 728
221999, 1566443144, 2019/8/22 3:5:44, 728
224000, 1566443146, 2019/8/22 3:5:46, 728
225999, 1566443148, 2019/8/22 3:5:48, 728
227999, 1566443150, 2019/8/22 3:5:50, 728
229999, 1566443152, 2019/8/22 3:5:52, 728
231999, 1566443154, 2019/8/22 3:5:54, 728
233999, 1566443156, 2019/8/22 3:5:56, 728
235999, 1566443158, 2019/8/22 3:5:58, 727
237999, 1566443160, 2019/8/22 3:6:0, 728
240000, 1566443162, 2019/8/22 3:6:2, 727
241999, 1566443164, 2019/8/22 3:6:4, 727
243999, 1566443166, 2019/8/22 3:6:6, 727
245999, 1566443168, 2019/8/22 3:6:8, 727
247999, 1566443170, 2019/8/22 3:6:10, 728
249999, 1566443172, 2019/8/22 3:6:12, 728
251999, 1566443174, 2019/8/22 3:6:14, 728
253999, 1566443176, 2019/8/22 3:6:16, 728
256000, 1566443178, 2019/8/22 3:6:18, 728
257999, 1566443180, 2019/8/22 3:6:20, 728
259999, 1566443182, 2019/8/22 3:6:22, 728
261999, 1566443184, 2019/8/22 3:6:24, 728
263999, 1566443186, 2019/8/22 3:6:26, 728
265999, 1566443188, 2019/8/22 3:6:28, 728
267999, 1566443190, 2019/8/22 3:6:30, 727
